EMTIONAL;thuộc về cảm giác
SOCIAL;thuộc về xã hội
PHYSICAL;mặt vật lí
WELLNESS;sức khoẻ
BEHAVIOUR;hành vi
CONSEQUENCE;hậu quả
BEHAVIOURAL;thuộc về hành vi
LANGUAGE;ngôn ngữ
DISTRESS;phiền muộn
STRESS;căng thẳng
FATIGUE;dịch bệnh
DISORDER;rối loạn
BULIMIA;rối loạn ăn uống
DEPRESSION;trầm cảm
ANXIETY;nỗi lo âu
SUPPORT;sự giúp đỡ
CHARACTERIZED;đặc trưng
DEVELOPMENT;sự phát triển
IMPRESSION;ấn tượng
DISOWN;rũ bỏ,không sở hữu
RENOVATE;cải tạo
RELUCTANT;lưỡng lự
CONFUSION;sự bối rối
REFERRAL;giới thiệu
EMPATHY;sự đồng cảm
STRESSOR;nguồn gây căng thẳng
ESTEEM;sự kính trọng
CONCEPT;ý tưởng
ABNORMAL;không bình thường
AMNESIA;chứng hay quên
DEFICIENCY;sự thiếu hụt
DEMENTIA;sa sút trí tuệ
EMERGENCY;khẩn cấp
EXTERNAL;bên ngoài
INTERNAL;bên trong
INSECURE;không an toàn
CONTENT;sự vui mừng
INNERSELF;tâm hồn bên trong
MAINTAIN;duy trì
APPOINTMENT;cuộc hẹn
PHYSICIAN;bác sĩ
COUNSELLOR;cố vấn
ADVISOR;người khuyên bảo
ADDICTION;sự nghiện ngập
ADDICTED;cơn nghiện
ADDICTIVE;thứ gây nghiện
IMPACT;ảnh hưởng
NEURON;tế bào thần kinh
SUBTLE;mờ nhạt
BREAKDOWN;phá vỡ
STRUGGLE;tranh đấu
STRANDED;mắc kẹt
TERMINOLOGY;thuật ngữ
