INCONCLUSIVE;thiếu tính kết luận
FRACTURED;bị nứt vỡ
FATAL;gây tử vong
DEMENTIA;sa sút trí tuệ
COMPULSIVE;ép buộc
INSOMNIA;chứng mất ngủ
BIPOLAR;lưỡng cực
VESTIBULE;tiền đình
RESIDENTIAL;khu dân cư
OUTPATIENT;bệnh nhân ngoại trú
AHDH;rối loạn tăng động
AUTISTIC;mang tính tự kỉ
AUTISM;chứng tự kỉ
DEPERSONALIZATION;phi cá nhân hoá
DYSREGULATION;rối loạn điều tiết
PERFECTIONISM;chủ nghĩa hoàn hảo
PHOBIA;ám ảnh
KLEPTOMANIA;hội chứng ăn cắp vặt
ANOREXIA;chứng chán ăn
ANTISOCIAL;chống đối xã hội
ATTACHMENT;thứ đi kèm
DISSOCIATIVE;mang tính tách rời
ASSOCIATE;kết hợp
DYSMORPHIC;mang tính rối loạn chức năng
DYSPHORIA;rối loạn chức năng
SYNDROME;triệu chứng
SCHIZOPHRENIA;tâm thần phân liệt
DEPENDENCE;sự phu thuộc
PYROMANIA;hội chứng điên
