TIGHT;căng thẳng 
HURDLES;nhảy rào 
HEPTATHLON;ba môn phối hợp 
STEEPLECHASE;đua ngựa nhảy rào 
BASELINE;vạch cơ sở 
BIRDLE;dây cương 
REARCOURT;viền khu vực thi đấu
COUNTERPUNCH;đấm móc hàm 
SOUTHPAW;võ sĩ tay trái 
SPARRING;đấu tập 
UNANIMOUS;bầu cử 
TOUCHLINE;đường biên 
BOGEY;cú đánh ma quỷ 
HAZARDOUS;khắc nghiệt 
MIDFIELDER;trung vệ 
GROUNDSTROKE;chạm dat 
UMPIRE;trọng tài 
HYDROBLADING;trượt băng nghệ thuật 
SEQUENCE;trình tự 
INFIELDER;tiền đạo 
OUTFIELDER;hậu vệ
INNING;hiệp thi đấu
BOWLER;người chơi ném cầu 
CREASE;vạch cho người đánh bóng 
WICKET;gôn cricket 
